key,balance,balanceEligible,balanceAtStart, isDisqualified, isNode, isActive,isEligibleFor_1_2,isEligibleFor_1_3
9gYsGWFZ8CkECq9HLH4c7qyQP2z6kwQmQy,1667499,1667499,0, no, no, no,yes,no
9hvtHsCFjFwYRrTEuDUChYL6kPVgCt5gaY,1667499,1667499,0, no, no, no,yes,no
9j5j5Tf72bGeu1kCKGCVqNfQw6qEVzr479,1667499,1667499,0, no, no, no,yes,no
9owqUjVTq6bhaU2G2j5K5GMKmgeMpnSaYw,1667499,1667499,0, no, no, no,yes,no
TBWBQ1rCXm16huegLWvSz5TCs5KzfoYaNB,105482,105482,0, no, no, no,yes,no
TCi1wcVbkmpUiTcG277o5Y3VeD3zgtsHRD,105482,105482,0, no, no, no,yes,no
TCiY5ktCgGKvBDJz7QjH5Ni2mnPL5qixhy,1489587,1489587,0, no, no, no,yes,no
TDJVZE5oCYYbJQyizU4FgB2KpnKVdebnxg,531389,531389,0, no, no, no,yes,no
THypUznpFaDHaE7PS6yAc4pHNjC2BnWzUv,531389,531389,0, no, no, no,yes,no
TLn1PGAVccBBjF8JuhQmATCR8vxhmamJg8,656607,656607,0, no, no, no,yes,no
TSziXCdaBcPk3Dt94BbTH9BZDH18K6sWsc,513643,513643,0, no, no, no,yes,no
TTpGqTr2PBeVx4vvNRJ9iTq4NwpTCbSSwy,2845692,2845692,0, no, no, no,yes,no
TVuTV7d5vBKyfg5j45RnnYgdo9G3ET2t2f,40000,40000,0, no, no, no,yes,no
TYewMw6Kh5V9VTwnhCzx4qZbrCzie44XWq,250,250,0, no, no, no,no,no
